@relation 'housing_train-weka.filters.unsupervised.attribute.Remove-R1-2,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-11-weka.filters.unsupervised.attribute.NumericToBinary-R6-11-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.NumericTransform-R4,5,15,16,17,18-Cjava.lang.Math-Mfloor-weka.filters.supervised.instance.SpreadSubsample-M3.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42'

@attribute rent numeric
@attribute type {apartment,townhouse,house,duplex,manufactured,condo,loft,flat,cottage/cabin,in-law,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed {0,1}
@attribute dogs_allowed {0,1}
@attribute smoking_allowed {0,1}
@attribute wheelchair_access {0,1}
@attribute electric_vehicle_charge {0,1}
@attribute comes_furnished {0,1}
@attribute laundry_options {'laundry in bldg','w/d in unit','w/d hookups','laundry on site','no laundry on site'}
@attribute parking_options {'off-street parking','attached garage','detached garage',carport,'street parking','valet parking','no parking'}
@attribute price_per_sqft numeric
@attribute pet_friendly_score numeric
@attribute accessibility_score numeric
@attribute total_rooms numeric
@attribute description numeric
@attribute demand {yes,no}

@data
1310,apartment,726,1,1,0,0,1,0,0,0,?,?,1.804408,0,0,2,316,yes
750,apartment,1010,2,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.742574,2,0,4,108,yes
700,apartment,600,1,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',1.166667,2,0,2,147,yes
715,apartment,754,1,1,1,1,0,0,0,0,'laundry in bldg','off-street parking',0.948276,2,0,2,114,yes
1940.648217,house,2241.553413,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.868895,1,0,6,186,no
987.238275,house,2014.067205,4,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.489297,2,0,6,205,no
2455,apartment,660,1,1,1,1,0,1,0,0,'w/d in unit','attached garage',3.719697,2,1,2,1881,yes
4610,apartment,1187,2,2,1,1,1,0,0,0,?,?,3.883741,2,0,4,153,yes
1974.408575,house,2280.218809,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.855941,1,0,6,169,no
815,apartment,554,1,1,1,1,0,1,0,1,'w/d in unit',carport,1.471119,2,1,2,196,yes
1175.739493,house,1356.30869,4,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.858874,2,0,7,73,no
1100,apartment,865,2,2,0,0,0,0,0,0,'laundry on site',carport,1.271676,0,0,4,145,yes
899,apartment,1250,3,2,1,1,1,0,0,0,?,?,0.7192,2,0,5,195,yes
890,apartment,680,1,1,1,0,1,0,0,0,'w/d in unit',carport,1.308824,1,0,2,89,yes
835,apartment,885,2,2,1,1,0,0,0,0,'laundry on site',carport,0.943503,2,0,4,108,yes
845,apartment,800,2,1,0,0,1,0,0,0,'laundry on site',carport,1.05625,0,0,3,282,yes
1100,condo,620,1,1,0,0,0,0,0,1,'laundry on site','off-street parking',1.774194,0,0,2,54,yes
1385.286514,house,1687.764401,4,2,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.816488,0,0,6,236,no
1095,apartment,1365,3,2,0,0,0,0,0,0,'w/d in unit','detached garage',0.802198,0,0,5,105,yes
740,apartment,702,2,1,1,1,1,0,0,0,'laundry on site',?,1.054131,2,0,3,262,yes
1700,apartment,820,1,1,0,0,0,0,0,0,'w/d in unit','detached garage',2.073171,0,0,2,193,yes
825,apartment,1073,2,1,0,0,1,0,0,0,?,?,0.768872,0,0,3,69,yes
640,apartment,600,1,1,1,1,1,0,0,0,'w/d in unit','off-street parking',1.066667,2,0,2,133,yes
847,apartment,936,2,1,1,1,1,0,0,0,'w/d in unit','detached garage',0.904915,2,0,3,125,yes
400,apartment,750,2,1,0,0,1,0,0,0,'w/d hookups','off-street parking',0.533333,0,0,3,32,yes
999,apartment,854,1,1,1,1,0,0,0,0,'w/d hookups','detached garage',1.169789,2,0,2,280,yes
1939.125513,house,2252.404567,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.853342,2,0,6,52,no
1001.62768,apartment,1256,4,2,1,1,1,0,0,0,'w/d in unit','off-street parking',0.797657,2,0,6,348,no
940,apartment,864,2,1,0,0,1,0,0,0,'laundry on site',carport,1.087963,0,0,3,344,yes
1350,townhouse,1087,3,1,1,0,1,0,0,0,'w/d hookups','detached garage',1.24195,1,0,4,32,yes
4466.788079,house,5688.991136,5,4,0,0,1,0,0,0,'w/d hookups','attached garage',0.799254,0,0,9,675,no
745,apartment,1000,2,2,1,1,1,0,0,0,'laundry on site',?,0.745,2,0,4,95,yes
1809.248453,house,1527.009535,4,2,0,0,1,0,0,0,'w/d in unit','attached garage',1.213574,1,0,6,146,no
1215,apartment,1095,2,2,1,1,1,0,0,0,'w/d in unit',?,1.109589,2,0,4,267,yes
1860,apartment,870,2,1,1,1,1,0,0,0,'w/d in unit',carport,2.137931,2,0,3,1,yes
3300,apartment,724,1,1,1,1,1,0,1,0,'w/d in unit','attached garage',4.558011,2,1,2,335,yes
896.559489,house,3035.522043,4,2,0,0,1,0,0,0,'w/d in unit','off-street parking',0.291068,1,0,7,76,no
2481.611419,house,2306.642865,4,2,0,0,1,0,0,0,'w/d hookups','attached garage',1.065713,1,0,6,47,no
925,apartment,475,0,1,1,1,1,0,0,0,'laundry on site',carport,1.947368,2,0,1,404,yes
2025,apartment,1173,3,3,0,0,0,0,0,0,'w/d in unit','off-street parking',1.726343,0,0,6,183,yes
1825,apartment,1315,3,2,1,1,1,0,0,0,'w/d in unit',carport,1.387833,2,0,5,240,yes
4995,apartment,1500,3,2,1,1,1,0,0,0,'w/d in unit','attached garage',3.33,2,0,5,109,yes
1500,apartment,1320,3,2,0,0,1,0,0,0,'w/d in unit',carport,1.136364,0,0,5,139,yes
1092,apartment,825,1,1,0,0,1,0,0,0,?,?,1.323636,0,0,2,263,yes
759,apartment,1100,2,1,1,1,1,0,0,0,'laundry on site','off-street parking',0.69,2,0,3,152,yes
1000,apartment,930,2,2,1,1,0,0,0,0,'w/d in unit','detached garage',1.075269,2,0,4,148,yes
650,apartment,1000,2,2,1,1,1,0,0,0,'w/d hookups',?,0.65,2,0,4,94,yes
619,apartment,1472,4,4,1,1,0,1,0,1,'w/d in unit','off-street parking',0.420516,2,1,8,461,no
1150,apartment,990.800324,3,2,1,1,0,0,0,0,'laundry in bldg','off-street parking',1.160678,2,0,5,172,yes
809,apartment,775,1,1,1,1,1,0,0,0,'laundry on site',?,1.043871,2,0,2,175,yes
1052,apartment,1256,4,2,1,1,1,1,0,0,'w/d in unit','off-street parking',0.83758,2,1,6,408,no
743,apartment,755,1,1,1,1,1,0,0,0,?,?,0.984106,2,0,2,135,yes
1525,apartment,525,0,1,1,1,1,0,0,0,'laundry on site',?,2.904762,2,0,1,146,yes
1650,apartment,921,2,2,1,1,1,0,0,0,'w/d in unit',?,1.791531,2,0,4,195,yes
934,apartment,950,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',0.983158,2,0,4,97,yes
1575,apartment,1200,3,2,1,1,1,1,0,0,'w/d in unit','off-street parking',1.3125,2,1,5,128,yes
1940,house,2176,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.891544,2,0,6,75,no
1039.489201,apartment,800,2,1,1,1,1,0,0,0,'laundry on site',carport,1.299362,2,0,3,169,yes
1398.296042,house,1798.698759,4,2,1,1,0,0,0,0,'w/d hookups','attached garage',0.777168,2,0,6,83,no
990,apartment,634,1,1,0,0,1,0,0,0,?,?,1.561514,0,0,2,278,yes
975,apartment,926,2,2,0,0,1,0,0,0,?,?,1.052916,0,0,4,203,yes
2145,apartment,923,2,1,1,1,1,0,0,0,'w/d in unit',carport,2.323944,2,0,3,333,yes
950,house,850,2,1,1,1,1,0,0,0,'w/d in unit','attached garage',1.117647,2,0,3,95,yes
2295,apartment,1100,2,2,1,1,0,0,0,0,'laundry on site',?,2.086364,2,0,4,230,yes
475,apartment,600,0,1,1,1,1,0,0,0,'laundry on site','off-street parking',0.791667,2,0,1,140,yes
925,apartment,1418,2,2,1,1,1,0,0,0,'laundry on site','street parking',0.652327,2,0,4,398,yes
1795,apartment,893,1,1,1,1,0,0,0,0,'w/d in unit','detached garage',2.010078,2,0,2,396,yes
739,apartment,800,2,1,1,1,0,1,0,1,'laundry on site','off-street parking',0.92375,2,1,3,249,yes
3809.937339,house,2008.457455,4,2,1,0,1,0,0,0,'w/d in unit','off-street parking',1.989653,1,0,6,61,no
1705,apartment,1356,3,2,0,0,1,0,0,0,?,?,1.257375,0,0,5,126,yes
1269,apartment,618,1,1,1,1,0,0,0,0,'laundry on site',carport,2.053398,2,0,2,96,yes
1253.883849,apartment,965,2,1,1,1,1,0,0,0,?,?,1.299362,2,0,3,164,yes
585,apartment,1330,4,4,0,0,1,0,0,0,'w/d in unit','off-street parking',0.43985,0,0,8,329,no
1695,house,1607,4,2,0,0,1,0,0,0,'w/d hookups','attached garage',1.05476,0,0,6,58,no
1069.83224,house,1501.984051,4,1,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.727455,0,0,5,29,no
1500,house,2600,4,2,0,0,0,0,0,0,'w/d in unit','attached garage',0.576923,0,0,6,78,no
1759,apartment,720,1,1,1,1,1,0,0,0,?,?,2.443056,2,0,2,239,yes
1495,house,1564,4,3,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.955882,0,0,7,302,no
2989.142121,house,2529.296175,4,2,0,0,1,0,0,0,'w/d in unit','attached garage',1.198556,0,0,6,121,no
1704,apartment,1024,3,1,0,0,1,0,0,0,?,?,1.664063,0,0,4,117,yes
1725,apartment,1710,4,2,1,1,0,0,0,0,'w/d in unit','detached garage',1.008772,2,0,6,175,no
525,manufactured,800,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',0.65625,2,0,3,61,yes
1595.172032,house,2000,4,2,0,0,1,0,0,0,'w/d hookups','attached garage',0.797697,0,0,6,56,no
1450,apartment,1010,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',1.435644,2,0,4,117,yes
1183,apartment,786,1,1,1,1,1,0,0,0,'w/d in unit',carport,1.505089,2,0,2,173,yes
1160,apartment,850,2,1,0,0,1,0,0,0,?,?,1.364706,0,0,3,321,yes
1308.625459,house,1620.7375,4,1,1,0,0,0,0,0,'w/d hookups','off-street parking',0.829573,0,0,5,51,no
855,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',1.0047,2,0,2,133,yes
1650,house,1818.100832,4,2,0,1,1,0,0,0,'w/d hookups','off-street parking',0.907097,1,0,6,113,no
1289,apartment,1100,3,2,1,1,1,1,0,0,'w/d in unit',carport,1.171818,2,1,5,107,yes
1999,apartment,1108,2,2,1,1,1,0,0,0,'w/d in unit',?,1.804152,2,0,4,343,yes
5500,house,900,3,2,0,1,1,0,0,0,'w/d in unit','off-street parking',6.111111,1,0,5,103,yes
2124,apartment,1421,2,2,0,0,1,0,0,0,?,?,1.494722,0,0,4,243,yes
995,apartment,1470,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',0.676871,2,0,5,171,yes
903.659774,house,2220.451219,4,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.386001,1,0,6,44,no
1280.166328,house,1827.384509,4,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.692939,1,0,6,78,no
1495,apartment,860,2,1,1,1,1,0,0,0,'w/d in unit','attached garage',1.738372,2,0,3,164,yes
1450,house,1530,4,2,0,1,0,0,0,0,'w/d hookups','attached garage',0.947712,1,0,6,33,yes
900,house,1740,3,1,0,0,0,0,0,0,'w/d hookups','off-street parking',0.517241,0,0,4,124,yes
2231.687088,house,2210.473157,4,2,0,0,0,0,0,0,'w/d in unit','attached garage',1.000909,0,0,6,121,no
1020,apartment,840,1,1,1,1,0,0,0,1,?,'attached garage',1.214286,2,0,2,224,yes
1205,townhouse,1038,2,1,1,1,1,0,0,0,'w/d hookups',carport,1.160886,2,0,3,290,yes
3223.792743,townhouse,1918.374773,4,3,0,0,0,0,0,0,'w/d in unit','attached garage',1.674545,0,0,8,91,no
2245,townhouse,1675,4,2,1,1,0,0,0,0,'w/d in unit','attached garage',1.340299,2,0,6,144,no
1200,condo,1086,2,1,1,1,0,0,0,1,'w/d in unit','detached garage',1.104972,2,0,3,108,yes
530,apartment,688,1,1,1,1,1,0,0,0,'laundry on site',?,0.770349,2,0,2,85,yes
1055.578727,apartment,1192.101803,4,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.900375,0,0,7,50,no
809,apartment,775,1,1,1,1,1,0,0,0,'laundry on site',?,1.043871,2,0,2,175,yes
1289,apartment,1008,3,2,1,1,0,1,0,0,'w/d hookups',carport,1.27877,2,1,5,112,yes
625,duplex,900,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',0.694444,2,0,3,26,yes
1299.361501,apartment,1000,2,1,0,0,0,0,0,0,'laundry on site',carport,1.299362,0,0,3,144,yes
1105,apartment,756,1,1,1,1,1,0,0,0,'w/d in unit',carport,1.46164,2,0,2,257,yes
1595,apartment,500,0,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',3.19,2,0,1,72,yes
1056.566768,apartment,1255.413612,4,2,1,1,1,1,0,0,'w/d in unit','off-street parking',0.901044,2,0,6,293,no
500,apartment,450,1,1,0,0,1,0,0,0,?,'off-street parking',1.111111,0,0,2,226,yes
1275,apartment,1277.633995,4,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.989821,2,0,6,35,no
750,apartment,600,1,1,1,1,1,0,0,0,'w/d hookups',?,1.25,2,0,2,42,yes
2002,apartment,1173,2,2,1,1,1,0,0,0,'w/d in unit','detached garage',1.706735,2,0,4,129,yes
1709.384316,house,2012.028782,4,2,0,0,1,0,0,0,'w/d hookups','attached garage',0.822372,0,0,6,113,no
999,apartment,1470,3,2,1,1,1,0,0,0,'w/d in unit','off-street parking',0.679592,2,0,5,164,yes
1051.217351,apartment,1256,4,2,1,1,1,1,0,0,'w/d in unit','off-street parking',0.836327,1,0,6,294,no
1330,house,1330,4,2,1,1,1,0,0,0,?,?,1,2,0,6,249,no
1320,apartment,932,2,2,0,0,1,0,0,0,'w/d in unit',?,1.416309,0,0,4,248,yes
1500,house,1990,2,2,0,0,1,0,0,0,'w/d in unit','off-street parking',0.753769,0,0,4,123,yes
935,apartment,770,1,1,1,1,0,0,0,0,'w/d in unit','off-street parking',1.214286,2,0,2,232,yes
2299,apartment,733,1,1,1,1,0,1,1,0,'w/d in unit','attached garage',3.136426,2,2,2,203,yes
2725,apartment,1550,3,3,1,1,0,1,0,0,'w/d in unit',carport,1.758065,2,1,6,201,yes
1717,apartment,650,1,1,1,1,1,0,0,0,?,?,2.641538,2,0,2,237,yes
817.446843,house,1884.379052,4,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.415787,0,0,5,128,no
1050,apartment,895,1,1,1,1,1,0,0,0,'w/d in unit',?,1.173184,2,0,2,208,yes
1400,apartment,1005,2,2,1,1,1,0,0,0,'w/d in unit',carport,1.393035,2,0,4,239,yes
1244,apartment,596,2,1,1,1,1,0,0,0,'laundry on site',carport,2.087248,2,0,3,112,yes
955,apartment,1269,3,2,1,1,0,0,0,0,'w/d hookups','street parking',0.752561,2,0,5,178,yes
585,apartment,550,1,1,1,1,0,0,0,0,'laundry in bldg','off-street parking',1.063636,2,0,2,49,yes
1795,house,1800,4,2,1,1,0,0,0,0,'w/d in unit','attached garage',0.997222,2,0,6,61,no
928,apartment,660,1,1,1,1,1,0,0,0,'w/d in unit',?,1.406061,2,0,2,181,yes
2317.789248,house,1985.061676,4,2,0,0,0,0,0,0,'w/d in unit','attached garage',1.165035,0,0,6,86,no
1100,apartment,600,0,1,0,0,1,0,0,1,'w/d in unit',?,1.833333,0,0,1,150,yes
699,apartment,900,2,1,1,1,0,1,0,1,'w/d hookups','off-street parking',0.776667,2,1,3,79,yes
645,apartment,850,1,1,1,1,0,0,0,0,'w/d in unit',?,0.758824,2,0,2,394,yes
849,manufactured,1100,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',0.771818,2,0,5,129,yes
799,apartment,705,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1.133333,2,0,2,166,yes
2491.122144,house,3039.127916,4,3,0,0,1,0,0,0,'w/d hookups','attached garage',0.826968,0,0,7,91,no
710,apartment,982,2,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.723014,2,0,4,112,yes
1600,townhouse,1700,3,2,0,0,0,0,0,0,'w/d in unit','attached garage',0.941176,0,0,5,139,yes
1357.556129,house,1602.815198,4,2,0,0,1,0,0,0,'w/d in unit','attached garage',0.844443,0,0,6,65,no
1265,apartment,840,3,1,1,1,1,0,0,0,'w/d in unit','off-street parking',1.505952,2,0,4,284,yes
1659.284637,apartment,1277,3,2,1,1,1,0,0,0,?,?,1.299362,2,0,5,190,yes
1110,apartment,1126,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',0.98579,2,0,4,116,yes
510,house,1005,2,1,1,1,1,0,0,0,?,?,0.507463,2,0,3,65,yes
1768.724173,house,1849.323405,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.96385,2,0,6,56,no
1565,apartment,905,2,2,1,1,1,0,0,0,'laundry on site',carport,1.729282,2,0,4,95,yes
897.117157,house,2471.647072,4,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.356874,1,0,6,104,no
1584,apartment,450,0,1,1,1,0,0,0,0,'laundry on site',carport,3.52,2,0,1,282,yes
995,apartment,849,2,1,1,1,1,0,0,0,'laundry in bldg',carport,1.171967,2,0,3,134,yes
1195,apartment,715,1,1,0,0,0,0,0,1,'laundry in bldg','off-street parking',1.671329,0,0,2,163,yes
530,apartment,688,1,1,1,1,1,0,0,0,'laundry on site',?,0.770349,2,0,2,85,yes
1654.137801,house,1797.364529,4,0,0,0,0,0,0,0,'laundry on site','off-street parking',0.923289,0,0,4,47,no
1060,apartment,1080,3,2,0,0,0,0,0,0,'w/d in unit','detached garage',0.981481,0,0,5,119,yes
1550,house,2005,4,2,0,0,0,0,0,0,'w/d hookups','attached garage',0.773067,0,0,6,46,yes
2560.848402,house,2524.503625,4,2,0,0,0,0,0,0,'w/d hookups','attached garage',0.998276,1,0,7,777,no
2025,apartment,1173,3,3,0,0,0,0,0,0,'w/d in unit','off-street parking',1.726343,0,0,6,186,yes
4049.852348,house,3160,4,3,0,1,0,0,0,0,'w/d in unit','attached garage',1.267729,1,0,7,142,no
1800,apartment,964,1,1,0,0,0,0,0,0,'laundry in bldg',carport,1.86722,0,0,2,30,yes
1295,apartment,1170,2,2,1,1,0,0,0,0,'w/d in unit',carport,1.106838,2,0,4,507,yes
833,apartment,800,3,2,1,1,1,0,0,0,'laundry on site',carport,1.04125,2,0,5,249,yes
3050,townhouse,1650,4,2,0,1,1,0,0,0,'w/d in unit','attached garage',1.848485,1,0,6,202,no
1500,apartment,992,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',1.512097,2,0,4,150,yes
820,apartment,960,2,2,1,1,1,0,0,0,'w/d in unit',?,0.854167,2,0,4,150,yes
1500,apartment,872,2,1,0,0,1,0,0,0,?,?,1.720183,0,0,3,152,yes
1017,apartment,645,1,1,1,1,1,0,0,0,'laundry on site',carport,1.576744,2,0,2,358,yes
735,apartment,686,1,1,1,1,0,0,0,0,'w/d hookups','street parking',1.071429,2,0,2,154,yes
820,apartment,731,1,1,1,1,1,0,0,0,'w/d hookups','detached garage',1.121751,2,0,2,267,yes
753.158695,house,2932.667163,4,2,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.26598,1,0,7,80,no
1150,apartment,627,1,1,1,1,0,0,0,0,'laundry on site',carport,1.834131,2,0,2,157,yes
1190,manufactured,980,2,2,0,0,0,0,0,0,?,carport,1.214286,0,0,4,38,yes
3150,house,1600,3,2,0,0,0,0,0,0,'laundry in bldg','detached garage',1.96875,0,0,5,71,yes
1820,apartment,557,1,1,1,1,0,1,0,0,'laundry in bldg',carport,3.267504,2,1,2,249,yes
1120,apartment,1319,3,2,1,1,1,0,0,0,'laundry on site','off-street parking',0.849128,2,0,5,123,yes
2581.579877,townhouse,2054.314795,4,2,1,1,0,0,0,0,'w/d in unit','attached garage',1.245042,1,0,7,129,no
735,apartment,686,1,1,1,1,0,0,0,0,'w/d hookups','street parking',1.071429,2,0,2,149,yes
1834.751856,house,1985.606361,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.920602,2,0,6,60,no
2014.89162,house,1885.736683,4,2,0,0,1,0,0,0,'w/d hookups','attached garage',1.071292,0,0,6,71,no
950,duplex,1150,2,2,0,0,0,0,0,0,'w/d in unit','attached garage',0.826087,0,0,4,87,yes
2210,apartment,1294,2,2,0,0,1,0,0,0,?,?,1.707883,0,0,4,197,yes
735,apartment,950,2,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.773684,2,0,3,388,yes
1585,apartment,1560,3,2,1,1,1,0,0,0,'w/d in unit',?,1.016026,2,0,5,46,yes
2300,house,1620,3,2,0,1,0,0,0,0,?,'attached garage',1.419753,1,0,5,44,yes
899,apartment,1250,3,2,1,1,1,0,0,0,?,?,0.7192,2,0,5,194,yes
795,townhouse,1000,2,1,1,1,0,0,0,0,'w/d in unit',?,0.795,2,0,3,135,yes
525,manufactured,800,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',0.65625,2,0,3,61,yes
1055.460955,house,2223.701779,4,2,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.50195,0,0,7,46,no
1300,apartment,755,1,1,1,1,1,0,0,0,'w/d in unit',carport,1.721854,2,0,2,241,yes
2068.29459,house,2379.752342,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.853455,2,0,6,61,no
1312,apartment,1407,3,3,1,1,1,0,0,0,'w/d in unit',?,0.93248,2,0,6,268,yes
1085,apartment,1325,2,2,1,1,1,0,0,0,'w/d in unit',carport,0.818868,2,0,4,100,yes
1100,apartment,900,2,1,0,0,1,0,0,0,'laundry on site',carport,1.222222,0,0,3,154,yes
1795,apartment,1174,2,2,1,1,0,0,0,0,'laundry in bldg',carport,1.528961,2,0,4,147,yes
789,apartment,850,2,1,1,1,1,0,0,0,'laundry on site','off-street parking',0.928235,2,0,3,418,yes
1257.454307,house,1476.913927,4,2,0,0,0,0,0,0,'laundry in bldg','off-street parking',0.847881,0,0,6,209,no
510,apartment,300,1,1,0,0,1,0,0,1,'laundry in bldg','off-street parking',1.7,0,0,2,124,yes
921,apartment,730,1,1,1,1,1,0,0,0,'w/d in unit',carport,1.261644,2,0,2,126,yes
650,apartment,850,1,1,1,1,0,0,0,0,'laundry on site',?,0.764706,2,0,2,358,yes
1500,apartment,840,2,2,0,0,1,0,0,0,?,?,1.785714,0,0,4,116,yes
1725,apartment,1710,4,2,1,1,0,0,0,0,'w/d in unit','detached garage',1.008772,2,0,6,175,no
1949.671484,house,2138.281258,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.909028,2,0,6,186,no
1725,apartment,1710,4,2,1,1,0,0,0,0,'w/d in unit','detached garage',1.008772,2,0,6,175,no
2183.276283,apartment,1307.249818,4,1,1,1,0,0,0,0,'w/d in unit','off-street parking',1.648647,1,0,5,140,no
685,apartment,870,2,1,0,0,1,0,0,0,'w/d in unit',?,0.787356,0,0,3,91,yes
727.394836,apartment,500,1,1,1,1,0,1,0,0,'laundry in bldg','off-street parking',1.45479,2,1,2,305,yes
682,apartment,1079,3,1,0,0,1,0,0,0,?,?,0.632067,0,0,4,167,yes
1050,apartment,1014,2,2,1,1,1,0,0,0,'w/d in unit',carport,1.035503,2,0,4,241,yes
590,apartment,670,1,1,1,1,0,1,0,0,'w/d hookups','off-street parking',0.880597,2,1,2,307,yes
899,apartment,976,2,2,1,1,1,0,0,0,'w/d in unit',carport,0.921107,2,0,4,313,yes
1570,apartment,850,2,1,1,1,1,0,0,0,'laundry on site',carport,1.847059,2,0,3,202,yes
650,apartment,735,2,1,0,0,1,0,0,0,'w/d hookups',carport,0.884354,0,0,3,16,yes
835,apartment,723,1,1,0,0,1,0,0,0,?,?,1.15491,0,0,2,167,yes
1150,apartment,1040,2,2,1,1,1,0,0,0,'w/d in unit',carport,1.105769,2,0,4,240,yes
751.314021,house,2898.945755,5,3,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.253936,0,0,9,811,no
1435,apartment,740,1,1,1,1,1,0,0,1,'w/d in unit',carport,1.939189,2,0,2,149,yes
1400,house,1627.139673,4,2,0,0,1,0,0,0,'w/d in unit','attached garage',0.855043,1,0,6,39,no
982.544111,house,999.461279,4,1,1,1,0,0,0,0,'laundry in bldg','off-street parking',1.034138,2,0,6,46,no
1883,apartment,672,1,1,1,1,1,1,0,0,'laundry on site',?,2.802083,2,1,2,402,yes
995,apartment,1560,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',0.637821,2,0,5,169,yes
1388.459136,house,1646.276234,4,2,0,0,1,0,0,0,'w/d in unit','attached garage',0.84151,0,0,6,71,no
895,apartment,1260,3,2,1,1,1,0,0,0,'laundry on site','off-street parking',0.710317,2,0,5,81,yes
1135,apartment,1326,3,2,1,1,1,0,0,0,'w/d in unit',?,0.855958,2,0,5,259,yes
960,apartment,845,2,1,1,1,1,0,0,0,'laundry on site',carport,1.136095,2,0,3,138,yes
1275,house,2000,4,3,0,0,0,0,0,0,'w/d hookups','off-street parking',0.6375,0,0,7,214,no
650,apartment,750,2,1,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.866667,0,0,3,95,yes
1075,apartment,905,2,1,0,0,0,0,0,0,'laundry on site','off-street parking',1.187845,0,0,3,193,yes
749,apartment,673,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1.112927,2,0,2,450,yes
1200,house,2387.568923,4,2,0,0,1,0,0,0,'w/d in unit','attached garage',0.503614,0,0,6,53,no
1400,apartment,525,1,1,1,1,1,0,0,0,'laundry on site',?,2.666667,2,0,2,76,yes
3132.820484,house,2669.862972,4,2,0,0,0,0,0,0,'w/d in unit','attached garage',1.166647,1,0,6,265,no
780,apartment,912,2,2,0,1,1,0,0,0,'w/d in unit',carport,0.855263,1,0,4,146,yes
1165,apartment,1572,3,2,1,1,1,0,0,0,'laundry on site','street parking',0.741094,2,0,5,399,yes
804,apartment,579,1,1,0,0,1,0,0,0,?,?,1.388601,0,0,2,211,yes
1245,house,1424,3,2,0,0,1,0,0,0,?,?,0.874298,0,0,5,253,yes
1553,apartment,883,2,2,0,0,1,0,0,0,?,?,1.758777,0,0,4,161,yes
1051.904386,apartment,1256,4,2,1,1,1,1,0,0,'w/d in unit','off-street parking',0.836624,1,0,6,297,no
915,apartment,1006,2,2,1,1,0,1,0,0,'laundry in bldg','off-street parking',0.909543,2,1,4,103,yes
1725,apartment,1710,4,2,1,1,0,0,0,0,'w/d in unit','detached garage',1.008772,2,0,6,175,no
1795,apartment,1274,3,2,1,1,0,1,0,0,'w/d in unit','off-street parking',1.408948,2,1,5,183,yes
1060,apartment,1080,3,2,0,0,0,0,0,0,'w/d in unit','detached garage',0.981481,0,0,5,119,yes
949,apartment,982,2,2,1,1,1,0,0,0,'w/d hookups','street parking',0.966395,2,0,4,175,yes
1400,apartment,1088,2,1,0,0,0,0,0,0,?,?,1.286765,0,0,3,42,yes
795,apartment,491,1,1,1,1,1,0,0,0,?,?,1.619145,2,0,2,199,yes
550,apartment,1065,3,1,1,1,1,0,0,0,?,?,0.516432,2,0,4,34,yes
2851.30929,apartment,1785.679555,4,3,1,1,1,0,0,0,'w/d in unit','attached garage',1.646519,2,0,7,130,no
705,apartment,890,1,1,0,0,0,0,0,0,?,?,0.792135,0,0,2,118,yes
